姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
周仲义,1935年8月6日,男,上海市,"(31.24916171001514, 121.48789948569473)",总参谋部,"（40.0229129337,116.2651482053）",信息技术专家
王子才,1932年6月23日,男,山东省聊城市,"(36.455828514727976, 115.98686913929107)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",自动控制、系统仿真专家
黄伯云,1945年11月24日,男,湖南省南县,"(29.24271434572909, 112.44449921859966)",中南大学,"(28.14519794888072, 113.00013894833069)",粉末冶金专家
胡永康,1940年2月5日,男,云南省曲靖市,"(25.520758142870502, 103.78253888802674)",中国石油化工股份有限公司抚顺石油化工研究院,"(40.41100432442581, 115.53209948296524)",石油炼制专家
高从_,1942年11月12日,男,山东省即墨市,"(36.48790860159858, 120.52110561990881)",杭州水处理技术研究开发中心,"(30.259244461536102, 120.2193754157201)",化工分离专家
干勇,1947年8月1日,男,四川内江,"(29.599461534774647, 105.07305599171474)",铸技术国家工程研究中心,"(23.155832884799587, 113.35241852683782)",冶金材料专家
何季麟,1945年9月1日,男,河南省开封市,"(34.80185417583674, 114.35164211776365)", 中色西北稀有金属材料研究院,"(38.454607035954055, 106.2340982683704)",冶金与材料工程专家
付贤智,1957年7月6日,男,福建省邵武市,"(27.23519706961062, 117.4805722285434)",福州大学,"(26.113610466212286, 119.26849637962324)",无机化工专家
刘中民,1964年9月24日,男,河南省扶沟县,"(34.100655472765126, 114.43732658093212)",中国科学院大连化学物理研究所,"(38.92031789855692, 121.63031306477026)",化工、冶金与材料专家
刘炯天,1963年1月20日,男,河南省西峡县,"(33.4869248147405, 111.43898978053542)",郑州大学,"(29.2687436078163, 120.24378754553541)",矿物加工工程专家
桑凤亭,1942年3月24日,男,辽宁省大连市,"(38.94870993830429, 121.59347778143518)",中国科学院大连化学物理研究所,"(38.92031789855692, 121.63031306477026)",化学激光专家
邱冠周,1949年2月2日,男,广东省梅州市,"(24.30457060603053, 116.12640309836864)",中南大学,"(28.14519794888072, 113.00013894833069)",矿物工程学家
邱定蕃,1941年10月20日,男,江西省广昌县,"(26.761885358703175, 116.36311652024182)",北京矿冶研究总院,"(39.82652396242846, 116.29726695095336)",有色金属冶金、化工冶金专家
钱锋,1961年4月9日,男,江苏省镇江市,"(32.20440944359928, 119.45583540512952)",华东理工大学,"(31.150240542587984, 121.43100141925231)",过程控制和过程系统工程专家
徐德龙,1952年8月1日,男,甘肃兰州,"(36.06422552504259, 103.8233054407292)",中国工程院,"(39.95681575330512, 116.38369901098648)",无机非金属材料专家
谢建新,1958年6月14日,男,湖南省双峰县,"(27.465564445593877, 112.1879228236664)",北京科技大学,"(39.996548082835545, 116.36597539925762)",材料加工工程专家
钱旭红,1962年2月19日,男,江苏省宝应县,"(33.22583365836416, 119.4556507838387)",华东理工大学,"(31.150240542587984, 121.43100141925231)",有机化工专家
吴以成,1946年11月5日,男,广西玉林市,"(22.643973608377276, 110.15167631614493)",天津理工大学,"(39.09400323717146, 117.15842903455206)",功能材料专家
周玉,1955年7月1日,男,黑龙江省五常市,"(44.77254356085926, 127.49111263245474)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",先进陶瓷材料学家
周廉,1940年3月1日,男,吉林省舒兰县,"(44.33546514415817, 127.11677230894627)",西北有色金属研究院,"(34.305350457705075, 107.26959119922115)",材料科学家
周克崧,1941年2月4日,男,湖南省长沙市,"(28.21347823085322, 112.9793527876505)",广东省科协,"(23.125537257141694, 113.24589978611108)",材料表面工程专家
金涌,1935年7月30日,男,北京市,"(39.92998577808024, 116.39564503787867)",苏联乌拉尔工业大学,"(39.13961104035532, 117.24656654915519)",化学工程专家
江东亮,1937年9月1日,男,上海市,"(31.24916171001514, 121.48789948569473)",上海硅酸盐研究所,"(31.222714420552357, 121.42850154910285)",著名无机材料科学家
侯芙生,1923年11月28日,男,江苏省无锡市,"(31.57003745192303, 120.30545590053595)",中国石化集团公司,"(30.589634220053387, 114.25915617567836)",炼油及石油化工专家
